Target_genes	Gli3|Average	ERX2693515|Embryonic_brains	ERX2693516|Embryonic_brains	SRX386266|Embryonic_limb	STRING
Olfr270	941.666667	836	1989	0	0
Sfi1	888.333333	1500	1165	0	0
Dux	802.000000	1091	1315	0	0
Pik3r6	793.333333	952	1428	0	0
3110040M04Rik	768.666667	897	1409	0	0
Stk32c	695.333333	952	1134	0	0
Car5b	654.333333	825	1138	0	0
Gm11569	640.000000	551	1369	0	0
Gm11554	640.000000	551	1369	0	0
Gm11938	626.333333	672	1207	0	0
Gm11567	611.666667	581	1254	0	0
Krtap9-1	607.333333	573	1249	0	0
Smarca5	602.000000	644	1162	0	0
Asb2	595.333333	518	1268	0	0
Gm14325	590.666667	380	1392	0	0
Gm11568	584.000000	406	1346	0	0
Gm11559	580.333333	714	1027	0	0
Krtap4-13	571.666667	419	1296	0	0
Lce3f	561.666667	575	1110	0	0
Gm45618	561.000000	581	1102	0	0
Lce3c	548.000000	605	1039	0	0
Gm39115	538.333333	544	1071	0	0
Zfp970	538.000000	386	1228	0	0
Gm11562	535.666667	450	1157	0	0
Lce1m	531.333333	581	1013	0	0
Krtap5-5	526.000000	582	996	0	0
Izumo2	504.333333	509	1004	0	0
Gm4559	487.000000	482	979	0	0
Tmem267	475.666667	549	878	0	0
Gm14322	475.333333	425	1001	0	0
Krtap3-2	472.333333	433	984	0	0
Slc24a3	470.000000	431	979	0	0
Gtsf1	469.666667	357	1052	0	0
Catspere1	464.666667	396	998	0	0
Krtap4-16	464.333333	432	961	0	0
Dmrtc1c2	463.666667	400	991	0	0
Dmrtc1c1	463.666667	400	991	0	0
Krtap31-1	460.666667	403	979	0	0
Ankdd1b	460.333333	397	984	0	0
Krtap4-6	455.000000	392	973	0	0
Krtap1-3	452.333333	412	945	0	0
Krtap5-1	448.000000	406	938	0	0
Abcc12	442.666667	500	828	0	0
Fut8	442.000000	462	864	0	0
Cryge	436.000000	359	949	0	0
Bin2	434.666667	498	806	0	0
Lce3d	433.333333	371	929	0	0
Asz1	432.333333	475	822	0	0
Lce1b	419.666667	371	888	0	0
Lce3e	416.333333	472	777	0	0
Gm3250	415.000000	415	830	0	0
Krtap5-4	414.000000	356	886	0	0
Gm21637	412.333333	356	881	0	0
Pabpc1l	412.000000	421	815	0	0
Spin2-ps1	410.000000	349	881	0	0
Gm11563	407.666667	381	842	0	0
Eif4a3l1	407.333333	386	836	0	0
Krt6a	407.000000	449	772	0	0
Gm11564	406.666667	386	834	0	0
Krtap2-4	405.333333	371	845	0	0
Hba-a2	404.000000	382	830	0	0
Hba-a1	404.000000	382	830	0	0
Olfr322	399.333333	323	875	0	0
Ccdc172	399.000000	413	784	0	0
Krt72	393.666667	356	825	0	0
Stpg4	393.000000	289	890	0	0
Stra8	392.333333	355	822	0	0
Rgs14	390.000000	323	847	0	0
Pabpc2	390.000000	335	835	0	0
F2rl3	389.666667	446	723	0	0
Krtap9-3	388.666667	289	877	0	0
2300003K06Rik	388.666667	330	836	0	0
Topaz1	388.333333	398	767	0	0
Gm7579	388.333333	365	800	0	0
Lce3a	388.000000	408	756	0	0
Gm11596	386.000000	330	828	0	0
Stk31	384.000000	342	810	0	0
Gm11595	384.000000	373	779	0	0
Krtap5-3	383.333333	393	757	0	0
Rnf186	381.333333	417	727	0	0
Krt34	380.666667	463	679	0	0
Il21r	379.333333	276	862	0	0
Hormad1	378.666667	288	848	0	0
Bicra	378.000000	277	857	0	0
Nr0b2	377.000000	285	846	0	0
Piwil1	374.666667	344	780	0	0
Krtap4-1	374.666667	369	755	0	0
Tsga8	372.333333	277	840	0	0
Elf5	372.000000	347	769	0	0
Rpl3l	367.666667	413	690	0	0
Eif4ebp3	367.666667	255	848	0	0
Dnah14	367.000000	396	705	0	0
Tex12	366.333333	326	773	0	0
Pnldc1	365.666667	366	731	0	0
Krtap3-1	365.000000	300	795	0	0
Rnf212b	362.666667	341	747	0	0
Il17re	360.666667	489	593	0	0
Spesp1	358.666667	233	843	0	0
Krtap13	358.666667	327	749	0	0
Dnah8	356.666667	364	706	0	0
Krtap4-9	356.333333	348	721	0	0
Krt33a	356.000000	293	775	0	0
Krtap4-7	353.666667	385	676	0	0
Hsf2bp	352.666667	244	814	0	0
Gm11937	352.000000	376	680	0	0
Tnfrsf13b	351.666667	233	822	0	0
Ctcfl	351.666667	412	643	0	0
Sh3tc1	351.333333	325	729	0	0
Gm10318	349.333333	459	589	0	0
Ankrd65	348.666667	400	646	0	0
Apoc2	348.000000	430	614	0	0
Olfr222	347.666667	211	832	0	0
Gm9508	347.000000	317	724	0	0
Syce3	346.666667	288	752	0	0
Krtap10-10	346.333333	395	644	0	0
Tmprss12	345.666667	330	707	0	0
BC051019	345.000000	327	708	0	0
Krtap5-2	344.666667	347	687	0	0
H2-Q10	343.666667	301	730	0	0
Gm3238	343.000000	290	739	0	0
Catspere2	341.666667	371	654	0	0
Gm3233	339.666667	339	680	0	0
4931406P16Rik	339.000000	312	705	0	0
Krt36	338.333333	323	692	0	0
Krtap3-3	338.000000	406	608	0	0
Gm2004	337.333333	190	822	0	0
Krt33b	336.666667	215	795	0	0
Arhgap40	335.333333	357	649	0	0
Vav1	334.000000	318	684	0	0
Gpat2	332.666667	277	721	0	0
Mettl7a2	332.333333	292	705	0	0
Methig1	332.333333	292	705	0	0
Krtap4-8	332.000000	338	658	0	0
Krtap4-2	332.000000	246	750	0	0
Krtap31-2	331.000000	268	725	0	0
Foxn1	331.000000	291	702	0	0
Gm4307	330.333333	319	672	0	0
Gm4305	330.333333	319	672	0	0
Gm4303	330.333333	319	672	0	0
Bpifb4	330.000000	212	778	0	0
Krt76	329.666667	233	756	0	0
Olfr1344	328.666667	423	563	0	0
Lep	328.333333	244	741	0	0
Ccdc7a	328.333333	232	753	0	0
1600014C10Rik	328.333333	841	144	0	0
1700029P11Rik	327.000000	312	669	0	0
2310057N15Rik	326.666667	251	729	0	0
Tmem262	326.333333	262	717	0	0
Cpeb3	325.666667	323	654	0	0
Krtap1-5	324.666667	354	620	0	0
Cox6a2	324.666667	318	656	0	0
Calhm1	324.666667	373	601	0	0
Ppp1r14bl	323.333333	266	704	0	0
Msh4	323.333333	334	636	0	0
Gabrb2	323.000000	433	536	0	0
Majin	322.666667	198	770	0	0
1700028K03Rik	322.666667	211	757	0	0
Dffb	322.333333	355	612	0	0
Gpr37l1	322.000000	277	689	0	0
Rnf212	321.333333	324	640	0	0
Ifnl2	321.333333	190	774	0	0
Lypd3	321.000000	297	666	0	0
Gm3285	321.000000	279	684	0	0
S100a3	320.666667	244	718	0	0
Rec114	318.000000	312	642	0	0
Igfbp1	318.000000	266	688	0	0
Gm14692	318.000000	278	676	0	0
Gm1140	318.000000	278	676	0	0
Tdrd9	317.333333	219	733	0	0
Sohlh2	317.000000	327	624	0	0
Gm36176	316.666667	304	646	0	0
Fcer1g	316.333333	323	626	0	0
Olfr212	315.333333	334	612	0	0
Krtap1-4	313.333333	258	682	0	0
Kcnk16	313.333333	335	605	0	0
Slc25a54	312.000000	229	707	0	0
Tnip1	311.666667	222	713	0	0
Hnf4a	311.666667	255	680	0	0
Ptchd3	310.666667	295	637	0	0
Gm14295	310.666667	201	731	0	0
Fkbp6	310.333333	348	583	0	0
Ano2	308.666667	246	680	0	0
Krt6b	308.333333	225	700	0	0
Loxhd1	308.000000	277	647	0	0
Rrs1	306.000000	275	643	0	0
Gm9736	305.666667	326	591	0	0
Chrna1	305.666667	300	617	0	0
1700071K01Rik	305.666667	330	587	0	0
Nobox	305.333333	211	705	0	0
Ube2d2b	305.000000	300	615	0	0
Prr23a3	305.000000	288	627	0	0
Zfp72	304.666667	222	692	0	0
Tktl2	304.333333	277	636	0	0
Ptpn20	304.333333	277	636	0	0
Lce1l	304.000000	233	679	0	0
Foxi1	304.000000	277	635	0	0
Ccdc7b	303.666667	282	629	0	0
Abr	303.333333	259	651	0	0
Bank1	302.666667	266	642	0	0
Tdrd12	302.000000	300	606	0	0
P2rx5	302.000000	244	662	0	0
Bend3	302.000000	289	617	0	0
Slc22a1	301.333333	311	593	0	0
Ankrd34c	301.000000	359	544	0	0
Cldn18	300.333333	330	571	0	0
Krtap17-1	299.000000	255	642	0	0
Krt28	299.000000	309	588	0	0
Tox2	298.666667	197	699	0	0
Limk1	298.333333	300	595	0	0
Fer	298.333333	190	705	0	0
Taf7l2	297.666667	208	685	0	0
Slc22a16	297.333333	272	620	0	0
Olfr1349	297.000000	250	641	0	0
Sult2b1	296.666667	225	665	0	0
Pyy	296.666667	160	730	0	0
Pde6c	296.333333	222	667	0	0
Krtap10-4	296.333333	312	577	0	0
Fcna	296.333333	239	650	0	0
1700029H14Rik	296.333333	222	667	0	0
Tmem247	296.000000	211	677	0	0
Slc25a31	295.666667	324	563	0	0
Kncn	295.666667	233	654	0	0
Slc9a3	295.000000	233	652	0	0
Tescl	294.666667	211	673	0	0
Timm8a2	294.333333	266	617	0	0
Nectin4	294.333333	266	617	0	0
Pabpc4	294.000000	277	605	0	0
Noto	294.000000	244	638	0	0
Atp4b	293.333333	293	587	0	0
Slc5a11	292.666667	199	679	0	0
Timm8a1	292.333333	310	567	0	0
Pcdha10	292.000000	283	593	0	0
Aoc2	292.000000	256	620	0	0
Adcy7	292.000000	0	876	0	0
Krt86	291.666667	176	699	0	0
Prss21	291.333333	233	641	0	0
Fgf6	291.333333	211	663	0	0
H2bc1	291.000000	247	626	0	0
H2ac1	291.000000	247	626	0	0
Mtnr1b	290.666667	180	692	0	0
Fau	290.000000	277	593	0	0
Apol8	290.000000	180	690	0	0
Krt16	289.666667	201	668	0	0
Hrh2	289.333333	201	667	0	0
Epsti1	289.333333	312	556	0	0
Glp2r	289.000000	331	536	0	0
Asmt	288.666667	343	523	0	0
Mov10l1	288.333333	170	695	0	0
Krt84	288.333333	319	546	0	0
Krt8	288.333333	247	618	0	0
Pbp2	288.000000	222	642	0	0
Brdt	288.000000	238	626	0	0
Prss32	287.666667	233	630	0	0
Akt2	287.666667	246	617	0	0
Kcnk18	287.333333	376	486	0	0
Dcdc2c	287.333333	260	602	0	0
Il12rb2	287.000000	244	617	0	0
Gm10100	287.000000	170	691	0	0
Ddx19b	287.000000	266	595	0	0
Golt1a	286.666667	190	670	0	0
Tex19.1	286.333333	318	541	0	0
Adora2a	286.333333	151	708	0	0
1700042G07Rik	286.333333	222	637	0	0
Klk9	286.000000	330	528	0	0
Krt23	285.666667	277	580	0	0
Figla	285.333333	360	496	0	0
Zfp982	285.000000	208	647	0	0
Rasal3	285.000000	281	574	0	0
Olfr66	285.000000	201	654	0	0
Prss42	284.333333	211	642	0	0
Gm13276	284.000000	160	692	0	0
Ttpal	283.666667	160	691	0	0
Prr23a2	283.666667	258	593	0	0
Nlrc5	283.000000	250	599	0	0
Mab21l4	282.000000	243	603	0	0
Mrps12	281.666667	316	529	0	0
Fam187a	281.666667	291	554	0	0
Chst13	281.333333	312	532	0	0
Zdhhc25	281.000000	275	568	0	0
Fsip2	281.000000	201	642	0	0
Adam32	281.000000	201	642	0	0
Syce1	280.666667	241	601	0	0
Tsks	280.333333	260	581	0	0
Atp2c2	280.333333	243	598	0	0
Ngb	280.000000	328	512	0	0
Sgk2	279.666667	222	617	0	0
Spata22	279.000000	233	604	0	0
Saxo1	278.333333	255	580	0	0
Krt24	278.333333	201	634	0	0
Apoc3	278.333333	244	591	0	0
Mrvi1	278.000000	266	568	0	0
Trf	277.333333	190	642	0	0
Sycp1	277.333333	148	684	0	0
Ldhal6b	277.000000	178	653	0	0
Gm14410	277.000000	95	736	0	0
4930544D05Rik	276.666667	286	544	0	0
Spi1	276.333333	233	596	0	0
Slc5a1	276.333333	286	543	0	0
Agmat	276.333333	245	584	0	0
Rspo4	276.000000	249	579	0	0
Muc20	276.000000	211	617	0	0
Lexm	275.000000	190	635	0	0
Slc22a2	274.333333	255	568	0	0
Rab37	274.000000	266	556	0	0
Tulp2	273.666667	230	591	0	0
Tifab	273.666667	289	532	0	0
Mael	273.333333	294	526	0	0
Spo11	273.000000	233	586	0	0
Olfr455	272.666667	284	534	0	0
Cnn1	272.333333	253	564	0	0
Piwil2	272.000000	255	561	0	0
Arid3c	271.666667	277	538	0	0
C2cd6	271.333333	308	506	0	0
Egfl7	270.666667	175	637	0	0
Ly6g6d	270.333333	305	506	0	0
Tmem239	270.000000	202	608	0	0
Osbpl1a	270.000000	222	588	0	0
Cd93	270.000000	180	630	0	0
Tuba3b	269.666667	229	580	0	0
Sycp2	269.666667	234	575	0	0
Iqca1l	269.666667	312	497	0	0
Slc12a9	269.333333	280	528	0	0
Ctnnd1	269.333333	280	528	0	0
Btbd18	269.333333	280	528	0	0
Ltf	269.000000	235	572	0	0
Timp4	268.666667	201	605	0	0
Tex44	268.666667	0	806	0	0
Rpl10l	268.666667	334	472	0	0
Agxt	268.000000	252	552	0	0
Fam228a	267.333333	230	572	0	0
Krt31	267.000000	243	558	0	0
Serpinb5	266.666667	244	556	0	0
H2-Q4	266.333333	187	612	0	0
Htra3	266.000000	260	538	0	0
Aqp12	266.000000	280	518	0	0
Rap1gap2	265.666667	237	560	0	0
Epp13	265.666667	289	508	0	0
Ddx4	265.666667	189	608	0	0
Acot11	265.666667	180	617	0	0
Prr23a1	265.000000	273	522	0	0
Prm1	264.666667	283	511	0	0
Ganab	264.333333	210	583	0	0
Zscan25	264.000000	198	594	0	0
Nfasc	264.000000	150	642	0	0
H1f7	264.000000	289	503	0	0
Spdef	263.666667	210	581	0	0
Pglyrp1	263.333333	222	568	0	0
H2-Q1	263.333333	158	632	0	0
Ttc30a2	263.000000	233	556	0	0
Sit1	262.333333	244	543	0	0
Ston1	261.666667	335	450	0	0
Scnn1b	261.666667	180	605	0	0
Cyct	261.666667	200	585	0	0
Adam18	261.666667	277	508	0	0
Car9	261.333333	289	495	0	0
Cdcp1	261.000000	284	499	0	0
Mag	260.333333	161	620	0	0
Pkp1	260.000000	287	493	0	0
Gnb3	259.666667	197	582	0	0
Eml1	259.333333	233	545	0	0
Terb2	258.666667	160	616	0	0
Piwil4	258.666667	244	532	0	0
Patl2	258.666667	160	616	0	0
Cetn1	258.666667	244	532	0	0
Upk3a	258.333333	189	586	0	0
Ttc22	258.333333	235	540	0	0
Slc44a2	258.333333	204	571	0	0
Prss47	258.333333	170	605	0	0
Fam178b	258.333333	275	500	0	0
Entpd3	258.333333	170	605	0	0
Abhd16b	258.333333	249	526	0	0
Tacr2	258.000000	215	559	0	0
Rhbdf2	258.000000	190	584	0	0
Dock2	258.000000	289	485	0	0
Abca16	258.000000	266	508	0	0
Trim29	257.666667	173	600	0	0
Slc5a8	257.000000	180	591	0	0
Sec1	257.000000	290	481	0	0
Cd300a	257.000000	222	549	0	0
Krtap9-5	256.666667	190	580	0	0
Gm10778	256.333333	201	568	0	0
Fbxo39	256.333333	231	538	0	0
Krtap28-13	256.000000	214	554	0	0
Krt7	256.000000	231	537	0	0
Cmtm1	256.000000	211	557	0	0
Rnf17	255.666667	201	566	0	0
Trim52	255.333333	211	555	0	0
Psmb11	255.333333	214	552	0	0
Bcl2l10	255.333333	281	485	0	0
Ccdc38	255.000000	233	532	0	0
Amdhd1	255.000000	233	532	0	0
Krt81	254.666667	294	470	0	0
Pde4c	254.333333	277	486	0	0
Myf5	254.333333	170	593	0	0
Zfp423	254.000000	233	529	0	0
Arap3	254.000000	258	504	0	0
Il17b	253.666667	237	524	0	0
Sgsm1	253.333333	237	523	0	0
Gsg1l2	253.333333	202	558	0	0
B3galt5	253.333333	180	580	0	0
Vil1	253.000000	150	609	0	0
Lims2	253.000000	215	544	0	0
Hspb1	253.000000	197	562	0	0
Il18r1	252.666667	190	568	0	0
Rpl39l	252.333333	201	556	0	0
Pabpc6	252.333333	225	532	0	0
Mylk3	252.333333	201	556	0	0
Meikin	251.666667	211	544	0	0
Foxr1	251.666667	225	530	0	0
Npffr1	251.333333	244	510	0	0
Cacng1	251.333333	222	532	0	0
Asb16	251.333333	233	521	0	0
Cyp4x1	251.000000	160	593	0	0
Gsn	250.666667	244	508	0	0
F5	250.666667	244	508	0	0
Prss38	250.333333	190	561	0	0
Kbtbd13	250.000000	230	520	0	0
Gm21953	250.000000	239	511	0	0
Gm21586	250.000000	239	511	0	0
Gm20878	250.000000	239	511	0	0
Galnt9	250.000000	300	450	0	0
Fam205a4	250.000000	239	511	0	0
Fam205a3	250.000000	239	511	0	0
Tmem40	249.666667	180	569	0	0
Nmur1	249.333333	266	482	0	0
Igflr1	249.000000	279	468	0	0
Fam83c	249.000000	177	570	0	0
Apob	248.666667	190	556	0	0
Vmn2r69	248.333333	225	520	0	0
Fam163b	248.333333	253	492	0	0
Ankk1	248.333333	201	544	0	0
Aifm3	247.666667	246	497	0	0
Insc	247.000000	233	508	0	0
B3gat1	247.000000	210	531	0	0
Tuba3a	246.666667	192	548	0	0
Mycs	245.666667	227	510	0	0
Krt27	245.666667	181	556	0	0
1700102P08Rik	245.666667	233	504	0	0
Slc24a5	245.333333	180	556	0	0
Gm136	245.333333	131	605	0	0
Clpsl2	245.333333	219	517	0	0
Pcdha6	244.666667	211	523	0	0
Gm38666	244.666667	211	523	0	0
H2-Q8	244.333333	176	557	0	0
H2-Q6	244.333333	176	557	0	0
Col6a6	244.333333	201	532	0	0
Lefty2	243.666667	235	496	0	0
Eya2	243.333333	216	514	0	0
Ptpre	243.000000	233	496	0	0
Odf3l2	243.000000	238	491	0	0
Ffar1	243.000000	223	506	0	0
Cort	243.000000	223	506	0	0
B4galnt2	243.000000	150	579	0	0
Tor4a	242.666667	279	449	0	0
Slc15a1	242.666667	160	568	0	0
Prss45	242.666667	160	568	0	0
Pcx	242.666667	266	462	0	0
Gucy2c	242.666667	160	568	0	0
Gpr143	242.666667	323	405	0	0
Dpp6	242.666667	233	495	0	0
Spaca1	242.333333	167	560	0	0
Krt80	242.333333	236	491	0	0
Tdrd1	242.000000	209	517	0	0
Sema4a	241.666667	252	473	0	0
Gdpd3	241.666667	234	491	0	0
Wbp2nl	241.333333	255	469	0	0
Nt5el	241.333333	130	594	0	0
Adad1	241.333333	219	505	0	0
Slc22a3	241.000000	190	533	0	0
Hsf5	241.000000	227	496	0	0
Ggt1	241.000000	149	574	0	0
Gfap	241.000000	170	553	0	0
Trex2	240.666667	271	451	0	0
Lrrc3c	240.666667	238	484	0	0
Ccdc136	240.666667	206	516	0	0
Eng	240.333333	251	470	0	0
Sprn	240.000000	263	457	0	0
Itga6	240.000000	190	530	0	0
Prss48	239.666667	211	508	0	0
Gda	239.666667	211	508	0	0
Fscn2	239.333333	263	455	0	0
Dpep3	239.333333	242	476	0	0
Trim54	239.000000	179	538	0	0
Psma8	239.000000	244	473	0	0
Krt82	239.000000	191	526	0	0
Krt35	239.000000	217	500	0	0
Adam3	239.000000	201	516	0	0
Kcnv2	238.666667	253	463	0	0
Cd19	238.666667	266	450	0	0
Cacna1s	238.333333	215	500	0	0
S100a16	238.000000	0	714	0	0
Plin4	238.000000	229	485	0	0
Asb10	238.000000	201	513	0	0
Sec31b	237.666667	170	543	0	0
Pom121l12	237.333333	180	532	0	0
Pcdhgb7	237.333333	171	541	0	0
Gngt2	237.333333	180	532	0	0
Abi3	237.333333	180	532	0	0
Far2	237.000000	131	580	0	0
Drd5	237.000000	215	496	0	0
Slc1a7	236.666667	190	520	0	0
Nkx6-3	236.666667	306	404	0	0
Krt13	236.666667	201	509	0	0
Tstd1	236.333333	194	515	0	0
H2-Q9	236.333333	198	511	0	0
H2-Q7	236.333333	198	511	0	0
Gm11127	236.333333	238	471	0	0
Cd34	236.333333	201	508	0	0
Tssk2	236.000000	219	489	0	0
Lipo2	236.000000	238	470	0	0
Crocc2	236.000000	232	476	0	0
Alpk3	236.000000	214	494	0	0
Papolb	235.333333	222	484	0	0
Naa11	235.333333	208	498	0	0
H3f3c	235.333333	150	556	0	0
Wdr17	235.000000	0	705	0	0
Krt73	235.000000	180	525	0	0
Arhgef3	235.000000	255	450	0	0
Ppp3r2	234.666667	160	544	0	0
Krt5	234.666667	213	491	0	0
Gm17266	234.666667	238	466	0	0
Psapl1	234.000000	205	497	0	0
Prss40	234.000000	196	506	0	0
Mei1	234.000000	216	486	0	0
Ftcd	234.000000	218	484	0	0
Olfr317	233.333333	222	478	0	0
Gm29733	233.333333	180	520	0	0
Asphd1	233.333333	169	531	0	0
Adcy6	233.333333	267	433	0	0
Gm5737	233.000000	172	527	0	0
Cyp26b1	233.000000	180	519	0	0
Vpreb1	232.666667	190	508	0	0
Padi4	232.000000	219	477	0	0
Naaladl1	232.000000	249	447	0	0
Adamtsl2	232.000000	244	452	0	0
Actl7b	232.000000	214	482	0	0
2310034C09Rik	232.000000	252	444	0	0
Siglec15	231.666667	222	473	0	0
Crygd	231.666667	222	473	0	0
Car5a	231.666667	113	582	0	0
Zkscan14	231.333333	201	493	0	0
Tbc1d5	231.333333	150	544	0	0
Olfr523	231.333333	150	544	0	0
Ndn	231.333333	170	524	0	0
Cacng8	231.333333	150	544	0	0
Syne4	231.000000	180	513	0	0
Fxyd5	231.000000	172	521	0	0
Ccdc185	231.000000	218	475	0	0
Ptgir	230.666667	273	419	0	0
AI467606	230.333333	179	512	0	0
Trim10	230.000000	200	490	0	0
Crygn	230.000000	232	458	0	0
Aoc3	230.000000	229	461	0	0
Prss43	229.666667	232	457	0	0
Gm13090	229.333333	217	471	0	0
Trim58	229.000000	190	497	0	0
Slc25a2	229.000000	131	556	0	0
Mucl3	229.000000	190	497	0	0
Lck	229.000000	181	506	0	0
Krt2	229.000000	141	546	0	0
Vpreb2	228.666667	201	485	0	0
Slc12a3	228.666667	246	440	0	0
Lce3b	228.666667	201	485	0	0
D1Pas1	228.666667	162	524	0	0
Slc47a1	228.000000	211	473	0	0
Krt4	228.000000	249	435	0	0
Nupr1	227.666667	233	450	0	0
Acer1	227.666667	244	439	0	0
Traf1	227.333333	150	532	0	0
Prr15l	227.333333	149	533	0	0
Npy4r	227.333333	150	532	0	0
Nppa	227.333333	239	443	0	0
Ccdc121	227.333333	150	532	0	0
Tmem184a	227.000000	184	497	0	0
Pstpip1	227.000000	160	521	0	0
Pde11a	227.000000	222	459	0	0
Chd7	227.000000	222	459	0	0
Car4	227.000000	201	480	0	0
Krt25	226.666667	160	520	0	0
Kcnk6	226.666667	190	490	0	0
Adsl	226.666667	0	680	0	0
Pla2g3	226.333333	154	525	0	0
Krtap12-1	226.333333	121	558	0	0
Parp10	226.000000	177	501	0	0
Ssr3	225.666667	201	476	0	0
Sh2d4b	225.666667	180	497	0	0
Myh14	225.666667	151	526	0	0
Tle7	225.333333	174	502	0	0
Tgm1	225.333333	231	445	0	0
Gm38999	225.333333	170	506	0	0
Olfr71	225.000000	229	446	0	0
Mettl7a3	225.000000	255	420	0	0
Slc14a1	224.666667	201	473	0	0
Flt3	224.666667	193	481	0	0
Dio1	224.666667	201	473	0	0
Bhlha9	224.666667	252	422	0	0
2610528J11Rik	224.666667	0	674	0	0
Olfr279	224.333333	166	507	0	0
Map3k7cl	224.333333	211	462	0	0
Ly6k	224.333333	190	483	0	0
Kcne1	224.333333	141	532	0	0
Fbxo24	224.333333	180	493	0	0
Tex19.2	224.000000	214	458	0	0
Spata25	224.000000	176	496	0	0
Gabrd	224.000000	281	391	0	0
Dand5	224.000000	150	522	0	0
Igf2	223.666667	177	494	0	0
Erich5	223.666667	255	416	0	0
Sdcbp2	223.333333	150	520	0	0
Pou2f3	223.333333	188	482	0	0
Olig3	223.333333	221	449	0	0
Ccl27a	223.333333	150	520	0	0
Fem1al	223.000000	229	440	0	0
Ccer1	223.000000	167	502	0	0
Acp7	223.000000	194	475	0	0
Pomc	222.666667	244	424	0	0
Ngf	222.666667	180	488	0	0
Ltb	222.666667	169	499	0	0
Tbcel	222.333333	170	497	0	0
Col6a5	222.333333	170	497	0	0
Ffar3	221.666667	180	485	0	0
Dbh	221.666667	210	455	0	0
Cd55b	221.666667	180	485	0	0
Avpr1b	221.333333	175	489	0	0
Myom3	221.000000	158	505	0	0
Gcnt1	221.000000	190	473	0	0
Eid3	221.000000	190	473	0	0
Crhr2	221.000000	119	544	0	0
Mylk2	220.666667	273	389	0	0
Gm3264	220.666667	237	425	0	0
Gm13547	220.666667	237	425	0	0
1700020D05Rik	220.666667	200	462	0	0
Vsig2	220.333333	211	450	0	0
Ccdc170	220.333333	222	439	0	0
Ttc23l	220.000000	244	416	0	0
Olfr982	220.000000	244	416	0	0
Atp4a	220.000000	197	463	0	0
Wscd2	219.666667	170	489	0	0
Prodh2	219.666667	216	443	0	0
Noxa1	219.666667	160	499	0	0
Gm9507	219.666667	234	425	0	0
Aplnr	219.333333	150	508	0	0
Tmprss13	219.000000	206	451	0	0
Mark2	219.000000	160	497	0	0
Krt75	219.000000	277	380	0	0
Ckm	219.000000	251	406	0	0
Adgrl4	219.000000	160	497	0	0
Maml2	218.666667	306	350	0	0
Kcng1	218.333333	192	463	0	0
Ankrd24	218.333333	173	482	0	0
Zp3	218.000000	173	481	0	0
Hgfac	218.000000	190	464	0	0
Foxh1	218.000000	245	409	0	0
Degs2	218.000000	247	407	0	0
Sec14l4	217.333333	190	462	0	0
Rcvrn	217.333333	172	480	0	0
Mcmdc2	217.333333	190	462	0	0
Gltpd2	217.333333	179	473	0	0
Cpne6	217.333333	223	429	0	0
Adamts13	217.333333	190	462	0	0
Krt9	217.000000	201	450	0	0
Slc6a19os	216.666667	205	445	0	0
Slc6a19	216.666667	205	445	0	0
Phactr3	216.666667	167	483	0	0
Ifitm10	216.666667	194	456	0	0
Cwh43	216.666667	211	439	0	0
Asic3	216.666667	192	458	0	0
Ackr2	216.666667	201	449	0	0
Nos3	216.333333	181	468	0	0
Igfbp6	216.333333	204	445	0	0
Htr4	216.333333	255	394	0	0
Klk13	216.000000	190	458	0	0
Gm19668	216.000000	187	461	0	0
Cacng6	216.000000	104	544	0	0
Ash2l	216.000000	266	382	0	0
Pla2g5	215.666667	150	497	0	0
Gsc2	215.666667	209	438	0	0
Fdps	215.666667	190	457	0	0
Ppl	215.333333	228	418	0	0
Grin1	215.333333	202	444	0	0
Trh	215.000000	160	485	0	0
Syt15	215.000000	173	472	0	0
Krt79	215.000000	188	457	0	0
Trim80	214.666667	158	486	0	0
Muc2	214.666667	205	439	0	0
Krtap16-1	214.666667	222	422	0	0
Hpd	214.666667	211	433	0	0
Tmem130	214.333333	141	502	0	0
Susd5	214.333333	131	512	0	0
Col5a3	214.333333	223	420	0	0
Prr19	214.000000	156	486	0	0
Nr2e3	214.000000	186	456	0	0
Cd164l2	214.000000	265	377	0	0
Ccdc183	214.000000	211	431	0	0
Akna	214.000000	148	494	0	0
1700001P01Rik	214.000000	180	462	0	0
Speg	213.666667	219	422	0	0
Sst	213.333333	201	439	0	0
Slc25a35	213.333333	158	482	0	0
Fut1	213.333333	135	505	0	0
Aqp7	213.333333	201	439	0	0
Muc3	212.666667	211	427	0	0
Lrmda	212.666667	141	497	0	0
Krt71	212.666667	211	427	0	0
Grem2	212.666667	211	427	0	0
F2	212.666667	179	459	0	0
Ampd3	212.666667	180	458	0	0
Dmrtb1	212.333333	200	437	0	0
4930524B15Rik	212.333333	160	477	0	0
Scnn1a	212.000000	177	459	0	0
Lta	212.000000	195	441	0	0
Hmcn2	212.000000	213	423	0	0
H2-Q2	212.000000	213	423	0	0
Avp	212.000000	210	426	0	0
Mmp2	211.666667	190	445	0	0
Islr	211.666667	178	457	0	0
Synpo2l	211.333333	155	479	0	0
Slc30a2	211.333333	145	489	0	0
Ptpn6	211.333333	148	486	0	0
Gpbar1	211.333333	205	429	0	0
Gm13285	211.333333	205	429	0	0
Gm9639	211.000000	224	409	0	0
Acot5	211.000000	176	457	0	0
Pcdha2	210.666667	207	425	0	0
Glyctk	210.666667	166	466	0	0
